routeid,stopid,estimatetime,goback
16726,212779,-3,3
16635,212773,170,1
16635,212774,258,1
16635,212775,344,1
16635,212776,414,1
17962,212793,-3,3
17962,212794,-3,3
17570,222114,904,1
17916,222115,276,1
16985,222113,-3,3
19741,222118,-3,3
19741,222119,-3,3
17534,222116,275,1
19741,222117,-3,3
19741,222121,-3,3
19741,222122,-3,3
19741,222120,-3,3
16726,212784,1488,1
18068,222109,-3,3
16224,222107,267,1
16792,222108,-3,3
16224,222106,694,0
18068,222110,-3,3
17682,222111,1263,1
17962,212795,-3,3
17962,212796,-3,3
17962,212797,-3,3
17962,212798,-3,3
19741,222136,-3,3
19741,222137,-3,3
19741,222134,-3,3
19741,222135,-3,3
19741,222138,-3,3
19741,222139,-3,3
19741,222140,-3,3
19741,222143,-3,3
19741,222144,-3,3
19741,222141,-3,3
19741,222142,-3,3
17500,177599,2645,0
17500,177597,2532,0
17500,177598,2592,0
17500,177595,2425,0
17500,177596,2482,0
17500,177593,2320,0
17500,177594,2363,0
17500,177591,2180,0
17500,177592,2227,0
17500,177590,2141,0
19741,222125,-3,3
19741,222126,-3,3
19741,222123,-3,3
19741,222124,-3,3
19741,222129,-3,3
19741,222127,-3,3
19741,222128,-3,3
19741,222132,-3,3
19741,222133,-3,3
19741,222130,-3,3
19741,222131,-3,3
17500,177588,2058,0
17500,177589,2099,0
17500,177586,1980,0
17500,177587,2016,0
17500,177584,1842,0
17500,177585,1923,0
19741,222158,-3,3
19741,222159,-3,3
19741,222156,-3,3
19741,222157,-3,3
19741,222161,-3,3
17559,222162,-3,3
19741,222160,-3,3
17559,222163,-3,3
19741,222147,-3,3
19741,222148,-3,3
19741,222145,-3,3
19741,222146,-3,3
19741,222149,-3,3
19741,222150,-3,3
19741,222151,-3,3
19741,222154,-3,3
19741,222155,-3,3
19741,222152,-3,3
19741,222153,-3,3
16529,177560,-3,3
16710,177561,5271,2
16529,177559,-3,3
16528,177557,-1,2
16528,177558,1196,1
16535,177555,-3,3
16535,177556,-3,3
16535,177553,-3,3
16535,177554,-3,3
16535,177551,-3,3
16535,177552,-3,3
16535,177550,-3,3
19598,222169,-3,3
19598,222167,-3,3
19598,222168,-3,3
17623,222172,-3,3
17623,222173,-3,3
19598,222170,-3,3
17623,222171,-3,3
17623,222176,-3,3
17623,222177,-3,3
17623,222174,-3,3
16535,177549,-3,3
17623,222175,-3,3
16515,177544,557,1
16515,177545,601,1
16515,177542,1317,0
16515,177543,421,1
16515,177540,1798,0
16515,177541,372,0
16651,177580,-3,3
16651,177579,-3,3
16675,177575,3412,2
16675,177576,991,1
16532,177573,-3,3
16532,177574,-3,3
16530,177571,-3,3
16532,177572,-3,3
16530,177570,-3,3
18368,222189,-3,3
16923,222192,-3,3
16673,222198,96,0
16673,222199,400,0
16673,222197,1445,0
16530,177568,-3,3
16530,177569,-3,3
16530,177566,-3,3
16530,177567,-3,3
16530,177564,-3,3
19640,222190,-3,3
16530,177565,-3,3
16922,222191,3218,2
16710,177562,5545,2
16710,177563,7101,2
16489,128990,-1,2
16489,128991,-1,2
16489,128992,-1,2
16489,128993,-1,2
10281,12671,617,0
16729,153950,-3,3
16489,128994,-1,2
16729,153951,-3,3
16489,128995,-1,2
16729,153952,-3,3
16489,128996,-1,2
16729,153953,-3,3
16729,153954,-3,3
16729,153955,-3,3
16729,153956,-3,3
16729,153957,-3,3
16729,153958,-3,3
16729,153959,-3,3
10281,12675,828,0
16489,128987,-1,2
16489,128988,-1,2
10281,12673,795,0
16489,128989,-1,2
10281,12679,61,0
10281,12677,35,0
10281,12681,101,0
16729,153947,-3,3
16729,153948,-3,3
16729,153949,-3,3
10281,12685,427,0
10281,12683,241,0
10281,12689,733,0
16729,153970,1081,0
16729,153971,1139,0
16729,153972,1208,0
16729,153973,1256,0
16729,153974,1436,0
16729,153975,1363,0
16729,153976,1555,0
16729,153977,1661,0
16729,153978,1882,0
16729,153979,1921,0
10281,12659,99,0
10281,12653,625,0
10281,12651,500,0
10281,12657,806,0
10281,12655,652,0
16729,153960,-3,3
16729,153961,-3,3
16729,153962,-3,3
16729,153963,62,0
16729,153964,491,0
16729,153965,603,0
16729,153966,654,0
16729,153967,748,0
16729,153968,785,0
16729,153969,832,0
